paths,coordinates,class
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1796,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1896,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2976,896",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2016,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2536,736",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1936,656",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1596,656",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2516,1356",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"3706,946",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2576,496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1476,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1406,2326",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1556,736",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2356,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1236,3376",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"476,2276",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1336,876",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1516,1876",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1396,496",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1576,3936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2176,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"756,2396",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1016,2896",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1256,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1716,816",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1516,696",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1016,1616",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"3936,1176",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1356,776",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1076,2176",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2016,1716",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2496,576",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2116,4076",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1656,3876",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"516,3336",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1836,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"486,2786",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1456,2256",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1576,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2676,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1556,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"796,2596",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"696,2236",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3796,3356",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"676,3396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3736,3356",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3856,2796",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1536,1036",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"3246,2326",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"456,3536",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"836,2576",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3516,3216",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1956,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"936,3476",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3576,3416",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3956,2616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4216,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1536,1036",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2176,1356",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2716,3836",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1336,876",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1976,556",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2716,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3036,3576",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1936,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3956,2436",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1196,3676",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1876,796",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2276,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1956,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"946,716",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"916,2936",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1736,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4256,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2016,836",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1536,1916",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2096,2556",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1056,1336",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1076,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1376,1656",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"516,2376",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1256,2976",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"816,2776",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1176,1616",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1876,1276",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2116,1436",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1656,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"536,1796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4016,2136",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4336,1136",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1596,556",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2956,3496",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3996,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4016,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1556,3536",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1456,1156",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1736,1076",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3716,3256",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1796,1076",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3016,2556",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2636,1036",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1916,1796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"456,3436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2376,1176",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"656,1556",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1836,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2036,1316",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1436,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2496,1336",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1936,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1676,896",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1636,3246",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1236,2036",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"716,1636",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1916,3616",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1276,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1296,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1556,3656",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3956,2536",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1116,1376",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1416,2156",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"256,1866",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2016,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3056,3636",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"516,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3656,3536",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1536,1136",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2096,1116",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1776,3756",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1176,2096",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1256,1556",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2036,1216",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"936,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1336,2156",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1696,1596",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1476,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2216,1336",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"956,2496",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"2176,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2556,3896",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1136,2356",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1916,1096",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1856,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1716,3896",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1236,2136",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"536,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4496,1296",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1756,1636",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2036,1396",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1196,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"516,2776",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3936,2856",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1316,1596",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2836,3556",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2336,1256",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1016,2976",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2636,1296",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2356,1036",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1176,1476",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"716,3936",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1496,796",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1176,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1896,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1516,1856",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1716,1336",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2136,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3856,3096",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3016,4626",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4316,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"876,2636",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4116,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1836,1056",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1936,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1296,3376",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1556,876",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1616,1216",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2176,996",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3936,1916",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2176,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1396,3716",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1336,2116",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4096,2196",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"976,2616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1156,3616",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2756,896",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"856,2196",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1396,3836",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1216,2496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"636,2156",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1076,2796",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2956,3916",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2136,1116",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1836,496",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2236,636",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3816,2936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2236,1616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3896,2536",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2176,656",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1816,576",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1406,2556",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"2816,1056",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1436,3636",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1076,576",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1656,1376",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"956,1656",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2596,1036",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1216,1356",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"656,1676",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4176,1516",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2396,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1236,1356",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"576,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1476,3536",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2076,976",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1276,836",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2116,1616",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1516,2216",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1536,1076",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"596,3616",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3296,3656",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1936,1436",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3616,3356",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1876,1776",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"486,1866",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1836,1836",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"976,2336",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3956,2416",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2236,1276",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2916,716",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1276,3456",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"5564,5546",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1756,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2556,3476",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"2036,3816",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2416,1536",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3916,3096",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1576,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"876,3436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"486,2786",0.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4456,1316",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4056,2536",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1956,1116",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1096,1696",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1876,1376",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1456,736",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"816,1516",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2326,3476",0.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1406,256",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1436,776",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1516,1996",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1656,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1176,4626",0.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1776,2036",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2796,1136",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1976,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2396,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4376,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1876,1396",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1396,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1616,2056",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4056,1996",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2116,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"486,716",0.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2636,856",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"2036,1516",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1576,1876",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1076,1716",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1736,1656",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2156,1776",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1976,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2756,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4276,2196",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2516,1416",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1956,856",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1156,2696",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"676,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1516,3776",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1636,2356",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1956,1236",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1356,736",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1776,916",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1816,1856",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07_b.tif,"1896,936",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1236,1276",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1416,836",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1316,1396",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4416,1256",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1916,1256",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1056,2096",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"976,1236",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1576,2056",1.0
C:/Users/william/Desktop/data_/train\images\20200822.tif,"1536,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2636,496",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3176,3536",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1296,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1636,1956",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2816,1096",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2296,1516",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1396,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"696,2076",1.0
C:/Users/william/Desktop/data_/train\images\20200331.tif,"486,1866",0.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1016,1296",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1636,1076",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1096,636",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1776,1456",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"476,2216",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1796,856",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1996,696",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1176,516",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1406,1994",0.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1516,936",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4136,2596",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2236,1436",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2456,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1916,596",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"2096,836",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"1376,3376",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1696,1736",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1336,1756",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"3876,2556",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"256,946",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1916,956",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"616,1436",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_07.tif,"1866,1176",0.0
C:/Users/william/Desktop/data_/train\images\2018_12_19_b.tif,"1776,1236",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4436,1196",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_31_b.tif,"1676,1476",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1736,1696",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1156,2656",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"1096,1496",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"816,2356",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"2756,976",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1776,1696",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"1916,676",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"2056,796",1.0
C:/Users/william/Desktop/data_/train\images\20200319.tif,"1196,576",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1916,1416",1.0
C:/Users/william/Desktop/data_/train\images\20190816.tif,"896,1336",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4076,1516",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"4016,2536",1.0
C:/Users/william/Desktop/data_/train\images\20190908.tif,"1256,776",1.0
C:/Users/william/Desktop/data_/train\images\20200307.tif,"1576,1156",1.0
C:/Users/william/Desktop/data_/train\images\2018_09_14_.tif,"1056,2276",1.0
C:/Users/william/Desktop/data_/train\images\2018_08_21_.tif,"496,3536",1.0
C:/Users/william/Desktop/data_/train\images\20200224.tif,"1376,2556",1.0
C:/Users/william/Desktop/data_/train\images\2018_12_19.tif,"256,716",0.0
